"sample_id","qfield_project","taxon_name","collector_fullname","observation_subject","name_proposition","date_created"
"dbgi_008893","jbuf",,"Héloïse Coen","Flower","Iris lactea fo.biglumis (Vahl) Kitag.","2025-06-16T09:22:46.130Z"
"dbgi_009008","jbuf","Allium rosenbachianum Regel","Héloïse Coen","Leaf",,"2025-06-16T09:22:46.191Z"
"dbgi_008885","jbuf","Allium rosenbachianum Regel","Héloïse Coen","Flower",,"2025-06-16T09:22:46.254Z"
"dbgi_008972","jbuf","Iris sanguinea Donn var. sanguinea","Héloïse Coen","Flower",,"2025-06-16T09:22:46.325Z"
"dbgi_008884","jbuf","Iris bloudowii Ledeb.","Héloïse Coen","Leaf",,"2025-06-16T09:22:46.379Z"
"dbgi_008999","jbuf","Iris bloudowii Ledeb.","Héloïse Coen","Flower",,"2025-06-16T09:22:46.453Z"
"dbgi_009005","jbuf","Brimeura amethystina (L.) Chouard","Héloïse Coen","Leaf",,"2025-06-16T09:22:46.508Z"
"dbgi_009003","jbuf","Brimeura amethystina (L.) Chouard","Héloïse Coen","Flower",,"2025-06-16T09:22:46.572Z"
"dbgi_007839","jbuf","Eremurus himalaicus Baker","Héloïse Coen","Leaf",,"2025-06-16T09:22:46.658Z"
"dbgi_009001","jbuf","Eremurus himalaicus Baker","Héloïse Coen","Flower",,"2025-06-16T09:22:46.722Z"
"dbgi_008998","jbuf",,"Héloïse Coen","Leaf","Iris laevigata Fisch.","2025-06-16T09:22:46.804Z"
"dbgi_0090062","jbuf",,"Héloïse Coen","Flower","Iris laevigata Fisch.","2025-06-16T09:22:46.874Z"
"dbgi_009009","jbuf","Muscari comosum (L.) Mill.","Héloïse Coen","Leaf",,"2025-06-16T09:22:46.968Z"
"dbgi_009004","jbuf","Muscari comosum (L.) Mill.","Héloïse Coen","Flower",,"2025-06-16T09:22:47.048Z"
"dbgi_009017","jbuf","Camassia quamash (Pursh) Greene","Héloïse Coen","Leaf",,"2025-06-16T09:22:47.129Z"
"dbgi_009016","jbuf","Camassia quamash (Pursh) Greene","Héloïse Coen","Flower",,"2025-06-16T09:22:47.205Z"
"dbgi_009010","jbuf","Gladiolus communis L.","Héloïse Coen","Leaf",,"2025-06-16T09:22:47.287Z"
