id;uid;codeBcgi;acceptedDetermination;cultivar;family;ipenCode;site;area;place;groupe;locationType;locationUid;dateDeath;dateDeathPrecision;correspondingName;acquisitionName;provenanceType;genus;infraSpecies;number;species;instituteName
6855f58990c6dd09a3906f7f;1fd23f47-5dea-4479-ba96-0489212bbd5c;FRIBG;Sisyrinchium angustifolium Phil.;;Iridaceae;XX-0-FRIBG-19950690;Jardin botanique de l'Université de Fribourg;;Géophytes;4. Amérique;Groupe;bccda8c5-666e-460c-b5d1-cf924de0d5a9;;;Jardin Botanique de l'Université FRIBG;Sisyrinchium angustifolium Mill. s.l.;enum_unknown;Sisyrinchium;;19950690I0;angustifolium;
6855f58990c6dd09a3906f85;eaec96fe-a170-4065-aade-00033c184b69;FRIBG;Sedum acre L.;;Crassulaceae;XX-0-FRIBG-19970476;Jardin botanique de l'Université de Fribourg;;Géophytes;;Place;f8943048-2bd6-4902-9ea8-4fb43f3d3241;;;Fournisseur inconnu F$;Sedum acre L.;enum_unknown;Sedum;;19970476I0;acre;
6855f58990c6dd09a3906f87;9e277fce-0d07-46e7-8d07-6ff3698a00ae;FRIBG;Iris sanguinea Hornem.;;Iridaceae;XX-0-M-B/0373;Jardin botanique de l'Université de Fribourg;;Géophytes;3. Asie;Groupe;642a024e-c63f-4dff-b703-3c59f6505fc0;;;Botanischer Garten München-Nymphenburg Samenversand M;Iris sanguinea Hornem.;enum_unknown;Iris;;20080063I0;sanguinea;
6855f58990c6dd09a3906f8b;1ab14463-b989-4c1b-a54d-03733c650411;FRIBG;Asphodelus macrocarpus Parl.;;Asphodelaceae;FR-0-P-2017g113;Jardin botanique de l'Université de Fribourg;;Géophytes;2. Europe du Sud;Groupe;65fd668a-bc74-4afa-b33f-234d7725e545;;;Muséum National d'Histoire Naturelle - DGDMJZ, Banque de graines - BP 45 MNHNBCP$;Asphodelus macrocarpus Parl. s.l.;enum_wild;Asphodelus;;20180238N0;macrocarpus;
6855f58990c6dd09a3906fa4;fc4b2c3f-6418-4c15-867c-f2d91841a9b3;FRIBG;Scilla luciliae (Boiss.) Speta;;Asparagaceae;XX-0-FRIBG-19950660;Jardin botanique de l'Université de Fribourg;;Géophytes;3. Asie;Groupe;642a024e-c63f-4dff-b703-3c59f6505fc0;;;Gewiehs Horst Blumenzwiebelhandel GHB$;Scilla luciliae (Boiss.) Speta;enum_unknown;Scilla;;19950660I0;luciliae;
6855f58990c6dd09a3906faa;268703ba-b37c-44c8-92a4-1aff7761d4ba;FRIBG;Eranthis cilicica Schott & Kotschy;;Ranunculaceae;XX-0-FRIBG-19950674;Jardin botanique de l'Université de Fribourg;;Géophytes;3. Asie;Groupe;642a024e-c63f-4dff-b703-3c59f6505fc0;;;Gewiehs Horst Blumenzwiebelhandel GHB$;Eranthis cilicica Schott et Kotschy;enum_unknown;Eranthis;;19950674I0;cilicica;
6855f58990c6dd09a3906fd3;bc9e1fd0-1bc7-44d2-84a1-471deca422e3;FRIBG;Bellevalia romana (L.) Sweet;;Asparagaceae;XX-0-FRIBG-19920143;Jardin botanique de l'Université de Fribourg;;Géophytes;2. Europe du Sud;Groupe;65fd668a-bc74-4afa-b33f-234d7725e545;;;Botanischer Garten Technischen Universität DR;Bellevalia romana (L.) Sweet;enum_unknown;Bellevalia;;19920143I0;romana;
6855f58990c6dd09a3906fdf;06f235ae-c5d0-4900-834d-4aab9336c546;FRIBG;Lilium carniolicum Bernh. ex Mert. & W.D.J.Koch;;Liliaceae;XX-0-FRIBG-20180004;Jardin botanique de l'Université de Fribourg;;Géophytes;2. Europe du Sud;Groupe;65fd668a-bc74-4afa-b33f-234d7725e545;;;Ville de Nantes - Jardin Botanique Direction Nature et Jardins VNJBDNJ$;Lilium carniolicum W.D.J. Koch;enum_unknown;Lilium;;20180004I0;carniolicum;
6855f58990c6dd09a3907006;33f9679d-8e35-43a1-92bf-75feaacfb921;FRIBG;Muscari neglectum Guss. ex Ten.;;Asparagaceae;FR-0-STR-2016360;Jardin botanique de l'Université de Fribourg;;Géophytes;1. Europe du Nord et du Centre;Groupe;c28d85ee-56e9-4742-85f4-039ab10f83b8;;;Jardin Botanique de l' UDS STR;Muscari neglectum Ten.;enum_wild;Muscari;;20170148N0;neglectum;
6855f58990c6dd09a390701d;bdfffe50-5706-4651-9dd8-00e87c513267;FRIBG;Gladiolus palustris Gaudin;;Iridaceae;CH-0-FRIBG-19910201;Jardin botanique de l'Université de Fribourg;;Géophytes;1. Europe du Nord et du Centre;Groupe;c28d85ee-56e9-4742-85f4-039ab10f83b8;;;Conservatoire et Jardin botaniques de la Ville de Genève G;Gladiolus palustris Gaudin;enum_wild;Gladiolus;;19910201N2;palustris;
6855f58990c6dd09a390702a;f75bfd25-dfa9-4578-9b7d-39134989f33d;FRIBG;Allium neapolitanum Cirillo;;Amaryllidaceae;XX-0-FRIBG-19960209;Jardin botanique de l'Université de Fribourg;;Géophytes;4. Amérique;Groupe;bccda8c5-666e-460c-b5d1-cf924de0d5a9;;;Botanischer Garten St.Gallen STGAL;Allium neapolitanum Cirillo;enum_unknown;Allium;;19960209I0;neapolitanum;
6855f58990c6dd09a390702c;7f3ee723-c1c5-43aa-ba84-23b7902fb08e;FRIBG;Asphodelus acaulis Desf.;;Asphodelaceae;XX-0-FRIBG-20140254;Jardin botanique de l'Université de Fribourg;;Géophytes;2. Europe du Sud;Groupe;65fd668a-bc74-4afa-b33f-234d7725e545;;;Eschmann Jakob, Alpenpflanzen EJA$;Asphodelus acaulis Desf.;enum_unknown;Asphodelus;;20140254I0;acaulis;
6855f58990c6dd09a3907034;4f9f16c5-1975-401d-916c-2424153be6e4;FRIBG;Muscari botryoides (L.) Mill.;;Asparagaceae;CH-0-FRIBG-20040467;Jardin botanique de l'Université de Fribourg;;Géophytes;2. Europe du Sud;Groupe;65fd668a-bc74-4afa-b33f-234d7725e545;;;Jardin Botanique de l'Université FRIBG;Muscari botryoides (L.) Mill.;enum_wild;Muscari;;20040467N0;botryoides;
6855f58990c6dd09a3907032;a1a00698-3557-4e31-ab0e-1b061600c09d;FRIBG;Crocosmia masoniorum (L.Bolus) N.E.Br. 'Luzifer';Luzifer;Iridaceae;XX-0-FRIBG-20030212;Jardin botanique de l'Université de Fribourg;;Géophytes;5. Afrique;Groupe;d5163f25-aea2-4511-81de-6733c1d40e24;;;Parco botanico del Canton Ticino BRISS;Crocosmia masoniorum (L. Bolus) N.E. Br. 'Luzifer';enum_unknown;Crocosmia;;20030212I0;masoniorum;
6855f58990c6dd09a3907058;fc41f84b-77d1-4f74-a98b-a40f81fe9989;FRIBG;Lilium candidum L.;;Liliaceae;XX-0-FRIBG-20200008;Jardin botanique de l'Université de Fribourg;;Géophytes;2. Europe du Sud;Groupe;65fd668a-bc74-4afa-b33f-234d7725e545;;;Jerusalem Botanical Gardens, The Hebrew University of Jerusalem Dr Ori Fragman-Sapir JBGTHUJDOFS$;Lilium candidum L.;enum_unknown;Lilium;;20200008I0;candidum;
6855f58990c6dd09a3907069;fbee3aea-4b69-46be-9bc6-efa5b12c8622;FRIBG;Allium hookeri var. muliense Airy Shaw;;Amaryllidaceae;XX-0-FRIBG-20210486;Jardin botanique de l'Université de Fribourg;;Géophytes;3. Asie;Groupe;642a024e-c63f-4dff-b703-3c59f6505fc0;;;Jelitto Staudensamen JS$;Allium hookeri var. muliense Airy Shaw;enum_unknown;Allium;muliense;20210145I0;hookeri;
6855f58990c6dd09a390708f;c2cb05ed-0a80-4471-8e35-3ba0208df6bd;FRIBG;Camassia cusickii S.Watson;;Asparagaceae;XX-0-FRIBG-19960481;Jardin botanique de l'Université de Fribourg;;Géophytes;4. Amérique;Groupe;bccda8c5-666e-460c-b5d1-cf924de0d5a9;;;Gewiehs Horst Blumenzwiebelhandel GHB$;Camassia cusickii S. Watson;enum_unknown;Camassia;;19960481I0;cusickii;
6855f58990c6dd09a39070c0;92643a59-9124-4bd2-b1d8-7abcaee78179;FRIBG;Tulipa praestans H.B.May;;Liliaceae;XX-0-FRIBG-19950702;Jardin botanique de l'Université de Fribourg;;Géophytes;3. Asie;Groupe;642a024e-c63f-4dff-b703-3c59f6505fc0;;;Gewiehs Horst Blumenzwiebelhandel GHB$;Tulipa praestans H.B.May;enum_unknown;Tulipa;;19950702I0;praestans;
